,time,lat,lon,height,tas
75,2021-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.90924
76,2021-05-16 12:00:00,32.918007160613975,296.71875,2.0,292.85458
77,2021-06-16 00:00:00,32.918007160613975,296.71875,2.0,294.87537
78,2021-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.50375
79,2021-08-16 12:00:00,32.918007160613975,296.71875,2.0,298.87265
80,2021-09-16 00:00:00,32.918007160613975,296.71875,2.0,298.48166
81,2021-10-16 12:00:00,32.918007160613975,296.71875,2.0,296.7702
82,2021-11-16 00:00:00,32.918007160613975,296.71875,2.0,294.95752
83,2021-12-16 12:00:00,32.918007160613975,296.71875,2.0,292.99506
84,2022-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.46124
85,2022-02-15 00:00:00,32.918007160613975,296.71875,2.0,291.55344
86,2022-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.64178
87,2022-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.34494
88,2022-05-16 12:00:00,32.918007160613975,296.71875,2.0,292.9887
89,2022-06-16 00:00:00,32.918007160613975,296.71875,2.0,294.893
90,2022-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.2109
91,2022-08-16 12:00:00,32.918007160613975,296.71875,2.0,298.3977
92,2022-09-16 00:00:00,32.918007160613975,296.71875,2.0,298.62222
93,2022-10-16 12:00:00,32.918007160613975,296.71875,2.0,296.63168
94,2022-11-16 00:00:00,32.918007160613975,296.71875,2.0,294.43658
95,2022-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.8658
96,2023-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.04102
97,2023-02-15 00:00:00,32.918007160613975,296.71875,2.0,292.1644
98,2023-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.69415
99,2023-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.8996
100,2023-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.52234
101,2023-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.43048
102,2023-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.78018
103,2023-08-16 12:00:00,32.918007160613975,296.71875,2.0,298.88416
104,2023-09-16 00:00:00,32.918007160613975,296.71875,2.0,298.83087
105,2023-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.06766
106,2023-11-16 00:00:00,32.918007160613975,296.71875,2.0,295.04147
107,2023-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.77524
108,2024-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.5932
109,2024-02-15 12:00:00,32.918007160613975,296.71875,2.0,291.9491
